id,text,allophone_ids,usage_count
1,"af",[],12
2,"ah",[],1
3,"al",[],43
4,"an",[],37
5,"ap",[],3
6,"ar",[],13
7,"as",[],17
8,"au",[],6
9,"az",[],12
10,"ba",[],13
11,"bi",[],5
12,"bo",[],1
13,"by",[],24
14,"cy",[],3
15,"da",[],2
16,"de",[],10
17,"di",[],3
18,"ed",[],36
19,"el",[],3
20,"en",[],6
21,"er",[],99
22,"es",[],12
23,"ev",[],28
24,"ex",[],7
25,"ey",[],5
26,"fa",[],6
27,"fi",[],5
28,"fu",[],2
29,"â€¦i",[],2
30,"if",[],17
31,"im",[],6
32,"'t",[],1
33,"iz",[],12
34,"ji",[],1
35,"ke",[],4
36,"li",[],24
37,"lo",[],2
38,"ly",[],36
39,"ma",[],11
40,"mo",[],8
41,"na",[],15
42,"ni",[],2
43,"of",[],50
44,"or",[],9
45,"ou",[],48
46,"pa",[],3
47,"pi",[],6
48,"py",[],11
49,"s'",[],4
50,"re",[],13
51,"ri",[],1
52,"ry",[],11
53,"sa",[],8
54,"se",[],6
55,"ti",[],2
56,"tv",[],2
57,"ty",[],8
58,"un",[],11
60,"ve",[],2
61,"wa",[],3
62,"wo",[],6
63,"wu",[],2
64,"zo",[],3
65,"bu",[],4
66,"ca",[],2
67,"ci",[],1
68,"ea",[],1
69,"et",[],2
70,"fy",[],1
71,"fz",[],1
72,"il",[],3
73,"(u",[],1
74,"ku",[],2
75,"la",[],3
76,"ll",[],1
77,"ny",[],1
78,"ob",[],1
79,"oc",[],1
80,"op",[],2
81,"s:",[],2
82,"t)",[],1
83,"si",[],2
84,"ta",[],1
85,"tu",[],1
86,"vi",[],1
